Match ID,Match Date,Team,Opponent,Venue,Batting Order,Total Runs,Total Overs,Total Wickets,Run Rate,Boundary %,Dot Ball %,Extras,Bowlers Economy Rate
1001349,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,first,168,20,6,8.4,10.4,25.6,7,8.6
1001349,2017-02-17,Sri Lanka,Australia,Melbourne Cricket Ground,second,172,20,5,8.6,16.8,30.4,13,8.4
1001351,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",first,173,20,10,8.65,13.008130081300814,27.64227642276423,8,8.8
1001351,2017-02-19,Sri Lanka,Australia,"Simonds Stadium, South Geelong",second,176,20,8,8.8,19.35483870967742,33.87096774193548,7,8.65
1001353,2017-02-22,Australia,Sri Lanka,Adelaide Oval,first,187,20,6,9.35,17.599999999999998,28.799999999999997,8,8.11111111111111
1001353,2017-02-22,Sri Lanka,Australia,Adelaide Oval,second,146,18,10,8.11111111111111,14.782608695652174,34.78260869565217,9,9.35
1003843,2016-11-12,Knights,Cape Cobras,"New Wanderers Stadium, Johannesburg",first,184,20,8,9.2,19.51219512195122,31.70731707317073,10,8.11111111111111
1003843,2016-11-12,Cape Cobras,Knights,"New Wanderers Stadium, Johannesburg",second,146,18,10,8.11111111111111,17.59259259259259,44.44444444444444,9,9.2
1003845,2016-11-12,Titans,Lions,"New Wanderers Stadium, Johannesburg",first,194,20,4,9.7,14.0625,24.21875,10,7.6
1003845,2016-11-12,Lions,Titans,"New Wanderers Stadium, Johannesburg",second,152,20,9,7.6,15.833333333333332,41.66666666666667,5,9.7
1003847,2016-11-13,Dolphins,Warriors,"Kingsmead, Durban",first,115,20,9,5.75,9.090909090909092,46.28099173553719,3,7.375
1003847,2016-11-13,Warriors,Dolphins,"Kingsmead, Durban",second,118,16,3,7.375,13.402061855670103,42.2680412371134,10,5.75
1003849,2016-11-16,Cape Cobras,Titans,"Boland Park, Paarl",first,141,20,6,7.05,7.317073170731707,34.959349593495936,9,7.473684210526316
1003849,2016-11-16,Titans,Cape Cobras,"Boland Park, Paarl",second,142,19,4,7.473684210526316,9.166666666666666,28.333333333333332,12,7.05
1003855,2016-11-18,Knights,Titans,"Willowmoore Park, Benoni",first,185,20,6,9.25,17.96875,35.15625,11,9.3
1003855,2016-11-18,Titans,Knights,"Willowmoore Park, Benoni",second,186,20,7,9.3,18.89763779527559,33.85826771653544,12,9.25
1003857,2016-11-20,Titans,Dolphins,"Mangaung Oval, Bloemfontein",first,185,20,4,9.25,13.821138211382115,26.01626016260163,8,6.35
1003857,2016-11-20,Dolphins,Titans,"Mangaung Oval, Bloemfontein",second,127,20,8,6.35,6.349206349206349,34.12698412698413,8,9.25
