Match ID,Match Date,Team,Opponent,Venue,Batting Order,Total Runs,Total Overs,Total Wickets,Run Rate,Boundary %,Dot Ball %,Extras,Bowlers Economy Rate
1001349,2017-02-17,Australia,Sri Lanka,Melbourne Cricket Ground,first,168,20,6,8.4,10.4,25.6,7,8.6
1001349,2017-02-17,Sri Lanka,Australia,Melbourne Cricket Ground,second,172,20,5,8.6,16.8,30.4,13,8.4
1001351,2017-02-19,Australia,Sri Lanka,"Simonds Stadium, South Geelong",first,173,20,10,8.65,13.008130081300814,27.64227642276423,8,8.8
1001351,2017-02-19,Sri Lanka,Australia,"Simonds Stadium, South Geelong",second,176,20,8,8.8,19.35483870967742,33.87096774193548,7,8.65
1003845,2016-11-12,Titans,Lions,"New Wanderers Stadium, Johannesburg",first,194,20,4,9.7,14.0625,24.21875,10,7.6
1003845,2016-11-12,Lions,Titans,"New Wanderers Stadium, Johannesburg",second,152,20,9,7.6,15.833333333333332,41.66666666666667,5,9.7
1003855,2016-11-18,Knights,Titans,"Willowmoore Park, Benoni",first,185,20,6,9.25,17.96875,35.15625,11,9.3
1003855,2016-11-18,Titans,Knights,"Willowmoore Park, Benoni",second,186,20,7,9.3,18.89763779527559,33.85826771653544,12,9.25
1003857,2016-11-20,Titans,Dolphins,"Mangaung Oval, Bloemfontein",first,185,20,4,9.25,13.821138211382117,26.01626016260163,8,6.35
1003857,2016-11-20,Dolphins,Titans,"Mangaung Oval, Bloemfontein",second,127,20,8,6.35,6.349206349206349,34.12698412698413,8,9.25
1003871,2016-11-27,Titans,Knights,"Diamond Oval, Kimberley",first,168,20,5,8.4,14.0625,30.46875,12,7.9
1003871,2016-11-27,Knights,Titans,"Diamond Oval, Kimberley",second,158,20,6,7.9,14.516129032258066,32.25806451612903,14,8.4
1003873,2016-11-27,Lions,Dolphins,"New Wanderers Stadium, Johannesburg",first,175,20,5,8.75,12.698412698412698,25.396825396825395,9,8.45
1003873,2016-11-27,Dolphins,Lions,"New Wanderers Stadium, Johannesburg",second,169,20,9,8.45,18.69918699186992,34.959349593495936,9,8.75
1003877,2016-11-30,Titans,Dolphins,"Kingsmead, Durban",first,170,20,4,8.5,15.2,28.000000000000004,10,8.55
1003877,2016-11-30,Dolphins,Titans,"Kingsmead, Durban",second,171,20,4,8.55,16.666666666666664,29.166666666666668,10,8.5
1003879,2016-12-02,Lions,Knights,"Diamond Oval, Kimberley",first,182,20,5,9.1,17.073170731707318,29.268292682926827,3,8.1
1003879,2016-12-02,Knights,Lions,"Diamond Oval, Kimberley",second,162,20,6,8.1,17.073170731707318,34.14634146341464,7,9.1
1003883,2016-12-04,Lions,Warriors,"Kingsmead, Durban",first,157,20,10,7.85,12.295081967213116,27.049180327868854,11,7.6
