match_id,match_date,team,opponent,venue,final_score,avg_run_rate,avg_score,avg_wickets,avg_boundary_percentage,venue_avg_score,venue_avg_run_rate,venue_avg_boundary_percentage,head_to_head_avg_score,last_5_avg_score,last_5_run_rate,last_5_boundary_percentage
211048,2005-02-17,Australia,New Zealand,Eden Park,214,,,,,,,,,,,
211048,2005-02-17,New Zealand,Australia,Eden Park,170,,,,,,,,,,,
211028,2005-06-13,England,Australia,The Rose Bowl,179,,,,,,,,,,,
211028,2005-06-13,Australia,England,The Rose Bowl,79,10.44,214.0,5.0,21.95,,,,,214.0,10.44,21.95
222678,2005-10-21,South Africa,New Zealand,New Wanderers Stadium,133,,,,,,,,,,,
222678,2005-10-21,New Zealand,South Africa,New Wanderers Stadium,134,8.36,170.0,10.0,18.03,,,,,170.0,8.36,18.03
226374,2006-01-09,South Africa,Australia,"Brisbane Cricket Ground, Woolloongabba",114,6.65,133.0,10.0,14.17,,,,,133.0,6.65,14.17
226374,2006-01-09,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",209,7.86,146.5,7.5,16.53,,,,,146.5,7.86,16.53
237242,2006-02-16,New Zealand,West Indies,Eden Park,126,7.74,152.0,7.5,15.65,170.0,8.36,18.03,,152.0,7.74,15.65
237242,2006-02-16,West Indies,New Zealand,Eden Park,126,,,,,,,,,,,
238195,2006-02-24,Australia,South Africa,New Wanderers Stadium,199,8.53,167.33,6.0,17.84,,,,209.0,167.33,8.53,17.84
238195,2006-02-24,South Africa,Australia,New Wanderers Stadium,201,6.38,123.5,10.0,13.34,133.0,6.65,14.17,114.0,123.5,6.38,13.34
225271,2006-06-15,England,Sri Lanka,The Rose Bowl,161,8.59,179.0,8.0,17.6,179.0,8.59,17.6,,179.0,8.59,17.6
225271,2006-06-15,Sri Lanka,England,The Rose Bowl,163,,,,,,,,,,,
225263,2006-08-28,Pakistan,England,County Ground,148,,,,,,,,,,,
225263,2006-08-28,England,Pakistan,County Ground,144,8.16,170.0,6.5,16.0,,,,,170.0,8.16,16.0
255954,2006-12-01,India,South Africa,New Wanderers Stadium,127,,,,,,,,,,,
255954,2006-12-01,South Africa,India,New Wanderers Stadium,126,7.5,149.33,8.0,15.88,167.0,8.19,17.57,,149.33,7.5,15.88
251487,2006-12-22,New Zealand,Sri Lanka,Westpac Stadium,162,7.18,143.33,7.67,13.9,,,,,143.33,7.18,13.9
251487,2006-12-22,Sri Lanka,New Zealand,Westpac Stadium,62,7.64,163.0,10.0,12.5,,,,,163.0,7.64,12.5
251488,2006-12-26,Sri Lanka,New Zealand,Eden Park,115,8.85,112.5,5.5,21.12,,,,62.0,112.5,8.85,21.12
251488,2006-12-26,New Zealand,Sri Lanka,Eden Park,116,7.36,148.0,7.75,14.29,148.0,7.2,14.22,162.0,148.0,7.36,14.29
249227,2007-01-09,Australia,England,Sydney Cricket Ground,221,8.78,175.25,6.25,18.38,,,,79.0,175.25,8.78,18.38
249227,2007-01-09,England,Australia,Sydney Cricket Ground,144,7.78,161.33,6.67,15.54,,,,179.0,161.33,7.78,15.54
258463,2007-06-28,West Indies,England,Kennington Oval,208,6.15,126.0,7.0,11.38,,,,,126.0,6.15,11.38
258463,2007-06-28,England,West Indies,Kennington Oval,193,7.54,157.0,7.25,14.41,,,,,157.0,7.54,14.41
258464,2007-06-29,England,West Indies,Kennington Oval,173,7.91,164.2,7.2,14.78,193.0,9.41,16.26,193.0,164.2,7.91,14.78
258464,2007-06-29,West Indies,England,Kennington Oval,169,8.02,167.0,7.5,16.8,208.0,9.9,22.22,208.0,167.0,8.02,16.8
306987,2007-09-01,Bangladesh,Kenya,Gymkhana Club Ground,139,,,,,,,,,,,
306987,2007-09-01,Kenya,Bangladesh,Gymkhana Club Ground,138,,,,,,,,,,,
306989,2007-09-02,Bangladesh,Pakistan,Gymkhana Club Ground,161,7.45,139.0,5.0,15.18,139.0,7.45,15.18,,139.0,7.45,15.18
306989,2007-09-02,Pakistan,Bangladesh,Gymkhana Club Ground,191,7.72,148.0,5.0,18.26,,,,,148.0,7.72,18.26
306991,2007-09-04,Kenya,Pakistan,Gymkhana Club Ground,92,6.62,138.0,7.0,11.2,138.0,6.62,11.2,,138.0,6.62,11.2
306991,2007-09-04,Pakistan,Kenya,Gymkhana Club Ground,93,8.52,169.5,6.0,17.26,191.0,9.32,16.26,,169.5,8.52,17.26
287853,2007-09-11,South Africa,West Indies,New Wanderers Stadium,208,7.14,143.5,8.25,14.51,153.33,7.48,15.18,,143.5,7.14,14.51
287853,2007-09-11,West Indies,South Africa,New Wanderers Stadium,205,8.08,167.67,7.33,16.58,,,,,167.67,8.08,16.58
287854,2007-09-12,Kenya,New Zealand,Kingsmead,73,5.52,115.0,8.5,8.0,,,,,115.0,5.52,8.0
287854,2007-09-12,New Zealand,Kenya,Kingsmead,74,7.11,141.6,7.2,14.41,,,,,141.6,7.11,14.41
287855,2007-09-12,Pakistan,Scotland,Kingsmead,171,7.82,144.0,4.67,15.34,,,,,144.0,7.82,15.34
287855,2007-09-12,Scotland,Pakistan,Kingsmead,120,,,,,,,,,,,
287856,2007-09-12,Australia,Zimbabwe,Newlands,138,9.2,184.4,6.0,19.46,,,,,184.4,9.2,19.46
287856,2007-09-12,Zimbabwe,Australia,Newlands,139,,,,,,,,,,,
287858,2007-09-13,Zimbabwe,England,Newlands,138,6.84,139.0,5.0,13.11,139.0,6.84,13.11,,139.0,6.84,13.11
287858,2007-09-13,England,Zimbabwe,Newlands,188,7.97,165.67,6.83,14.85,,,,,163.0,7.85,14.3
287857,2007-09-13,West Indies,Bangladesh,New Wanderers Stadium,164,8.44,177.0,7.0,17.08,205.0,9.53,18.6,,177.0,8.44,17.08
287857,2007-09-13,Bangladesh,West Indies,New Wanderers Stadium,165,7.62,150.0,6.0,16.06,,,,,150.0,7.62,16.06
287860,2007-09-14,Sri Lanka,Kenya,New Wanderers Stadium,260,7.88,113.33,7.0,17.81,,,,,113.33,7.88,17.81
287860,2007-09-14,Kenya,Sri Lanka,New Wanderers Stadium,88,5.04,101.0,9.0,7.51,,,,,101.0,5.04,7.51
287861,2007-09-14,England,Australia,Newlands,135,8.15,168.86,7.14,15.29,188.0,9.17,17.89,161.5,168.4,8.14,15.0
287861,2007-09-14,Australia,England,Newlands,136,8.76,176.67,6.5,18.07,138.0,6.57,11.11,150.0,169.2,8.43,17.29
287862,2007-09-14,India,Pakistan,Kingsmead,141,6.2,127.0,4.0,13.82,,,,,127.0,6.2,13.82
287862,2007-09-14,Pakistan,India,Kingsmead,141,7.93,150.75,5.75,16.14,171.0,8.27,18.55,,150.75,7.93,16.14
287864,2007-09-15,South Africa,Bangladesh,Newlands,146,7.74,156.4,7.0,16.49,,,,,156.4,7.74,16.49
287863,2007-09-15,New Zealand,Sri Lanka,New Wanderers Stadium,164,7.38,130.33,6.17,15.28,134.0,7.12,13.27,139.0,122.4,7.18,14.73
287863,2007-09-15,Sri Lanka,New Zealand,New Wanderers Stadium,168,8.98,150.0,6.75,21.43,260.0,12.28,32.28,88.5,150.0,8.98,21.43
287864,2007-09-15,Bangladesh,South Africa,Newlands,144,8.0,155.0,5.33,17.2,,,,,155.0,8.0,17.2
287865,2007-09-16,New Zealand,India,New Wanderers Stadium,190,7.46,135.14,6.29,14.71,149.0,7.53,12.28,,128.4,7.34,14.33
287865,2007-09-16,India,New Zealand,New Wanderers Stadium,180,6.54,134.0,6.5,13.82,127.0,6.2,13.82,,134.0,6.54,13.82
287866,2007-09-16,Bangladesh,Australia,Newlands,123,7.78,152.25,6.5,16.82,144.0,7.14,15.7,,152.25,7.78,16.82
287866,2007-09-16,Australia,Bangladesh,Newlands,124,8.82,170.86,5.86,18.7,137.0,7.87,16.79,,180.6,9.21,19.56
287867,2007-09-16,South Africa,England,Newlands,154,7.73,154.67,6.33,16.52,146.0,7.68,16.67,,159.0,7.94,16.99
287867,2007-09-16,England,South Africa,Newlands,135,7.95,164.62,7.5,15.0,161.5,7.88,15.45,,166.6,8.05,14.68
287868,2007-09-17,Pakistan,Sri Lanka,New Wanderers Stadium,189,7.69,148.8,6.0,15.77,,,,,148.8,7.69,15.77
287868,2007-09-17,Sri Lanka,Pakistan,New Wanderers Stadium,156,8.95,153.6,6.0,20.65,214.0,10.56,24.91,,153.6,8.95,20.65
287871,2007-09-18,Bangladesh,Sri Lanka,New Wanderers Stadium,83,7.36,146.4,6.8,15.0,165.0,8.76,19.47,,146.4,7.36,15.0
287871,2007-09-18,Sri Lanka,Bangladesh,New Wanderers Stadium,147,8.65,154.0,6.5,19.24,194.67,9.42,20.68,,152.2,8.85,20.59
287870,2007-09-18,Pakistan,Australia,New Wanderers Stadium,165,7.93,155.5,6.0,15.83,189.0,9.15,16.13,,157.0,7.97,15.34
287870,2007-09-18,Australia,Pakistan,New Wanderers Stadium,164,8.81,165.0,5.25,18.86,199.0,9.55,20.0,,163.6,8.98,19.47
287869,2007-09-18,England,New Zealand,Kingsmead,159,7.81,161.33,7.44,14.52,,,,,164.8,8.02,14.6
287869,2007-09-18,New Zealand,England,Kingsmead,164,7.67,142.0,6.75,15.49,74.0,8.71,19.61,,141.2,7.97,16.45
287873,2007-09-19,India,England,Kingsmead,218,7.31,149.33,7.33,16.59,141.0,6.88,13.82,,149.33,7.31,16.59
287872,2007-09-19,South Africa,New Zealand,Kingsmead,158,7.67,154.57,6.57,16.42,,,,133.0,167.0,8.19,17.66
287872,2007-09-19,New Zealand,South Africa,Kingsmead,153,7.7,144.44,7.0,15.38,119.0,8.33,17.06,134.0,141.6,7.98,16.26
